Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_piece,-0.005326,0.0010345,0.0094664,0,0,0,0.185,4.6452E-05,-1.4654E-07,-4.434E-08,4.7155E-05,-5.4158E-08,8.9367E-05,0,0,0,0,0,0,package://single_module/meshes/base_piece.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single_module/meshes/base_piece.STL,,piece_female_v5_sim-1,Coordinate System1 <piece_female_v5_sim-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo_arm,-0.0087084,9.3905E-07,0.0054783,0,0,0,0.004,1.8101E-08,1.7111E-12,4.7734E-09,1.3363E-07,-2.3379E-12,1.4183E-07,0,0,0,0,0,0,package://single_module/meshes/servo_arm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single_module/meshes/servo_arm.STL,,servo_arm_v5_sim-1,Coordinate System1 <servo_arm_v5_sim-1>,Axis1 <servo_arm_v5_sim-1>,joint1,revolute,-0.033801,0,0.0095,1.5708,0,0,base_piece,0,0,-1,1,2.2,-1.57,1.57,,,,,,,,
new_piece,-0.034489,-0.00020927,0.00012666,0,0,0,0.1075,4.5118E-05,2.442E-08,-3.1795E-07,8.4255E-05,2.9297E-09,4.26E-05,0,0,0,0,0,0,package://single_module/meshes/new_piece.STL,0.26275,0.25098,0.23922,1,0,0,0,0,0,0,package://single_module/meshes/new_piece.STL,,piece_male_v5_sim-1,Coordinate System1 <piece_male_v5_sim-1>,Axis1 <piece_male_v5_sim-1>,joint2,revolute,-0.020021,0,0,0,0.00044346,0,servo_arm,0,0,-1,1,2.2,-1.57,1.57,,,,,,,,
